,name,category
0,'Bocce Ball', Home
1,'Scooter Tours', Travel
2,'Electronics', Computers
3,'Town Hall', Miscellaneous 
4,'Television Stations', Entertainment 
5,'Pop-Up Restaurants', Food
6,'Eyebrow Services', Personal Care
7,'Basque', Food
8,'Races & Competitions', Home
9,'Pet Groomers', Personal Care
10,'Bangladeshi', Food
11,'Observatories', Construction 
12,'Meaderies', Construction
13,'Mass Media', Entertainment 
14,'Horse Boarding', Entertainment 
15,'Surfing', Sport
16,'Roadside Assistance', Construction
17,'Infectious Disease Specialists', Health
18,'Wineries', Food
19,'Udon', Food
20,'Electricians', Computers
21,'Commercial Truck Repair', Automotive
22,'Izakaya', Food
23,'Pet Boarding', Personal Care
24,'Criminal Defense Law', Legal 
25,'Post Offices', Real Estate 
26,'Adult Entertainment', Entertainment 
27,'Outlet Stores', Merchants
28,'Kickboxing', Sport
29,'Cafeteria', Food
30,'Security Services', Business Support
31,'Herbs & Spices', Food
32,'Powder Coating', Personal Care
33,'Linens', Home
34,'Piano Bars', Food
35,'Furniture Stores', Merchants 
36,'Waterproofing', Home
37,'Mattresses', Home
38,'Floral Designers', Home
39,'Local Services', Personal Care
40,'Pole Dancing Classes', Entertainment 
41,'Food Tours', Food
42,'Apartments', Real Estate 
43,'Art Restoration', Business Support
44,'Buffets', Food
45,'Public Transportation', Travel
46,'Gemstones & Minerals', Food 
47,'Keys & Locksmiths', Home 
48,'Boating', Sport
49,'Street Art', Education
50,'Furniture Assembly', Merchants
51,'Medical Spas', Personal Care
52,'Pet Photography', Personal Care
53,'Irish Pub', Food
54,'American (New)', Food
55,'Musicians', Home
56,'Employment Law', Legal
57,'Axe Throwing', Sport
58,'Formal Wear', Merchants
59,'Gunsmith', Merchants
60,'Apartment Agents', Real Estate
61,'Chimney Cakes', Food
62,'Lighting Fixtures & Equipment', Home
63,'Japanese Curry', Food
64,'Damage Restoration', Automotive
65,'Local Flavor', Food
66,'Kids Hair Salons', Personal Care
67,'Props', Business Support
68,'Bridal', Miscellaneous 
69,'Embroidery & Crochet', Home 
70,'Dermatologists',Health 
71,'Dental Hygienists', Health 
72,'Cannabis Collective', Merchants
73,'Allergists', Health
74,'& Probates', Legal
75,'Perfume', Merchants
76,'Striptease Dancers', Miscellaneous
77,'Reunion', Business Support
78,'Tours', Travel
79,'Shopping', Merchants
80,'Bakeries', Food
81,'Marketing', Merchants
82,'Traffic Schools', Education
83,'Food Safety Training', Education
84,'Pasta Shops', Food
85,'Bird Shops', Merchants 
86,'Nail Technicians', Personal Care
87,'Electronics Repair', Automotive
88,'Used Car Dealers', Merchants
89,'Olive Oil', Food
90,'Diagnostic Imaging', Health
91,'Art Space Rentals', Real Estate 
92,'Music Venues', Entertainment 
93,'Siding', Construction
94,'Chinese', Food
95,'Air Duct Cleaning', Home
96,'Home Automation', Automotive 
97,'Wholesalers', Merchants
98,'Endodontists', Miscellaneous
99,'Churros', Food 
100,'Guns & Ammo', Merchants
101,'New Mexican Cuisine', Food
102,'Driving Schools', Education
103,'Makerspaces', Real Estate
104,'Pulmonologist', Health
105,'Restaurant Supplies', Food
106,'Brazilian', Food
107,'Appraisal Services', Business Support 
108,'Japanese', Food
109,'Adult Education', Education
110,'Title Loans', Legal 
111,'Art Consultants', Miscellaneous 
112,'Preventive Medicine', Health 
113,'Butcher', Miscellaneous
114,'Paint & Sip', Entertainment 
115,'Art Museums', Entertainment 
116,'Self Storage',  Real Estate 
117,'Party & Event Planning', Business Support 
118,'Mediterranean', Food
119,'Climbing', Sport
120,'Contractors', Miscellaneous 
121,'Archery', Sport
122,'Truck Rental', Automotive 
123,'Nudist', Miscellaneous 
124,'Do-It-Yourself Food', Food
125,'Nightlife', Entertainment 
126,'Bungee Jumping', Food
127,'Art Supplies', Entertainment 
128,'Fishing', Sport
129,'Urgent Care', Health 
130,'Condominiums', Real Estate 
131,'Water Purification Services', Business Support
132,'Animal Physical Therapy', Personal Care
133,'Trainers', Personal Care
134,'DUI Law', Legal
135,'Ear Nose & Throat', Health 
136,'Rehabilitation Center', Health 
137,'Carpet Cleaning', Home
138,'Laundromat', Business Support
139,'Bike tours', Travel 
140,'Vehicle Shipping', Merchants
141,'Insulation Installation', Business Support
142,'Interior Design', Business Support
143,'Packing Services', Business Support
144,'Oxygen Bars', Food
145,'Tax Law', Legal
146,'Accountants', Miscellaneous 
147,'Game Meat', Food
148,'Nephrologists', Health
149,'Pet Breeders', Personal Care 
150,'Gyms', Sport
151,'Tickets', Travel
152,'Drama Schools', Education 
153,'Personal Injury Law', Legal
154,'Empanadas', Food
155,'Real Estate Law', Legal
156,'Boat Parts & Supplies', Business Support
157,'Surgeons', Health
158,'Jails & Prisons', Real Estate
159,'Laboratory Testing', Health
160,'Day Camps', Entertainment 
161,'Leather Goods', Merchants
162,'Bus Tours', Travel
163,'Airsoft', Merchants
164,'Recycling Center', Real Estate 
165,'Horse Equipment Shops', Merchants
166,'Golf Cart Dealers', Miscellaneous
167,'Team Building Activities', Business Support
168,'Dive Bars', Food
169,'Shipping Centers', Real Estate 
170,'Gastroenterologist', Health
171,'Massage Therapy', Health
172,'Bail Bondsmen', Legal
173,'Environmental Abatement', Construction
174,'Dive Shops', Merchants
175,'Car Wash', Business Support
176,'Airport Shuttles', Construction
177,'Caricatures', Entertainment 
178,'Water Stores', Merchants 
179,'Test Preparation', Health 
180,'Pest Control', Business Support
181,'Seafood', Food
